City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,31.51,79,100,14.97,mist
1,Anadyr,RU,64.75,177.4833,27.1,100,75,6.71,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,74.07,89,100,20.78,moderate rain
3,Olga,RU,43.7444,135.2892,36.12,65,13,3.78,few clouds
4,Chimoio,MZ,-19.1164,33.4833,75.06,69,20,4.38,few clouds
5,Upernavik,GL,72.7868,-56.1549,11.03,94,100,13.62,overcast clouds
6,Pasni,PK,25.2631,63.471,84.45,38,4,4.5,clear sky
7,Te Anau,NZ,-45.4167,167.7167,55.35,97,100,3.22,overcast clouds
8,Saint-Philippe,RE,-21.3585,55.7679,80.19,67,24,8.52,few clouds
9,Anloga,GH,5.7947,0.8973,81.48,73,14,8.21,few clouds
10,Luwuk,ID,-0.9516,122.7875,79.75,91,100,2.66,overcast clouds
11,Rosetta,EG,31.4044,30.4164,67.48,68,9,8.34,light rain
12,Broome,US,42.2506,-75.833,35.2,84,100,11.5,overcast clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,71.04,73,3,11.12,clear sky
14,Husavik,IS,66.0449,-17.3389,45.43,80,100,24.67,overcast clouds
15,Buckingham,GB,51.9997,-0.9878,48.15,93,100,7.0,overcast clouds
16,Vaini,TO,-21.2,-175.2,75.36,94,20,2.3,few clouds
17,Hilo,US,19.7297,-155.09,72.25,94,100,8.05,overcast clouds
18,Albany,US,42.6001,-73.9662,37.38,90,100,7.65,overcast clouds
19,Hofn,IS,64.2539,-15.2082,46.78,89,100,21.59,overcast clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,67.55,93,89,1.99,overcast clouds
21,Tungor,RU,53.3808,142.9564,14.68,93,17,5.84,few clouds
22,Vostok,RU,46.4856,135.8833,22.95,91,100,1.32,overcast clouds
23,Saldanha,ZA,-33.0117,17.9442,66.25,65,100,16.33,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,53.26,30,0,10.36,clear sky
25,Mar Del Plata,AR,-38.0023,-57.5575,62.62,89,0,7.0,moderate rain
26,Acapulco,MX,16.8634,-99.8901,77.72,85,78,3.67,broken clouds
27,Carnarvon,AU,-24.8667,113.6333,69.17,54,0,18.7,clear sky
28,Kainantu,PG,-6.2887,145.8655,69.75,80,100,1.43,overcast clouds
29,Gouyave,GD,12.1646,-61.7296,75.97,94,75,20.71,light rain
30,Tiksi,RU,71.6872,128.8694,-15.7,100,100,4.81,overcast clouds
31,Mugur-Aksy,RU,50.35,90.5,18.54,50,46,6.58,scattered clouds
32,Qaanaaq,GL,77.484,-69.3632,-9.02,86,95,5.19,overcast clouds
33,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,16.11,scattered clouds
34,Shelburne,CA,44.0787,-80.2041,25.59,97,100,5.91,overcast clouds
35,Yellowknife,CA,62.456,-114.3525,7.32,92,75,6.91,broken clouds
36,Bethel,US,41.3712,-73.414,37.71,74,0,5.75,clear sky
37,Sarakhs,IR,36.5449,61.1577,68.07,23,2,16.26,clear sky
38,Lavrentiya,RU,65.5833,-171.0,33.78,90,100,13.35,light snow
39,Ponta Do Sol,PT,32.6667,-17.1,69.71,82,98,5.7,overcast clouds
40,Cape Town,ZA,-33.9258,18.4232,69.12,59,20,19.57,few clouds
41,Mountain Home,US,43.133,-115.6912,18.88,100,0,3.44,clear sky
42,Nikolskoye,RU,59.7035,30.7861,33.8,86,100,7.67,light snow
43,Ixtapa,MX,20.7,-105.2,72.23,84,0,1.01,clear sky
44,Chokurdakh,RU,70.6333,147.9167,-12.53,94,100,5.3,overcast clouds
45,Muroto,JP,33.2833,134.15,63.36,49,100,1.19,overcast clouds
46,Lianran,CN,24.9227,102.485,68.54,27,0,13.67,clear sky
47,Manta,EC,-0.95,-80.7333,71.38,83,75,10.36,broken clouds
48,Mataura,NZ,-46.1927,168.8643,58.48,91,100,2.44,overcast clouds
49,Dedza,MW,-14.3779,34.3332,73.02,52,1,4.03,light rain
50,Lorengau,PG,-2.0226,147.2712,83.44,65,100,7.81,overcast clouds
51,Dabat,ET,12.9842,37.765,60.82,40,91,5.06,overcast clouds
52,Jizan,SA,17.3333,42.6667,85.14,51,0,3.36,clear sky
53,Ewa Beach,US,21.3156,-158.0072,76.95,67,0,6.91,clear sky
54,New Norfolk,AU,-42.7826,147.0587,58.91,53,93,3.0,overcast clouds
55,Ahipara,NZ,-35.1667,173.1667,63.14,90,100,6.87,overcast clouds
56,Narsaq,GL,60.9167,-46.05,21.42,88,20,6.49,few clouds
57,Talagang,PK,32.9297,72.4158,69.57,28,0,10.6,clear sky
58,Cherskiy,RU,68.75,161.3,1.42,97,100,4.56,light snow
59,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,12.66,clear sky
60,Bambous Virieux,MU,-20.3428,57.7575,79.21,57,40,3.44,scattered clouds
61,Cooma,AU,-36.2333,149.1333,54.46,48,0,10.74,clear sky
62,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,67,40,19.71,scattered clouds
63,Kodiak,US,57.79,-152.4072,44.11,93,100,17.27,overcast clouds
64,Cabo San Lucas,MX,22.8909,-109.9124,74.52,70,85,1.01,overcast clouds
65,Brigantine,US,39.4101,-74.3646,42.01,65,100,6.91,overcast clouds
66,Tura,IN,25.5198,90.2201,77.32,48,0,3.09,clear sky
67,Sokolskoye,RU,57.1412,43.1589,24.96,64,100,12.91,overcast clouds
68,Ancud,CL,-41.8697,-73.8203,56.23,90,94,6.58,overcast clouds
69,Shitanjing,CN,39.2342,106.3439,48.18,52,100,13.51,overcast clouds
70,Thompson,CA,55.7435,-97.8558,14.16,79,100,14.97,light snow
71,Mattru,SL,7.6244,-11.8332,70.66,96,12,2.73,few clouds
72,Mihijam,IN,23.8526,86.8788,83.16,28,0,9.28,clear sky
73,Butaritari,KI,3.0707,172.7902,81.93,76,100,12.33,overcast clouds
74,Codrington,AU,-38.2667,141.9667,57.51,69,17,11.5,few clouds
75,Lebu,CL,-37.6167,-73.65,55.02,94,56,7.96,broken clouds
76,Manzhouli,CN,49.6,117.4333,30.04,75,7,18.79,clear sky
77,Castro,BR,-24.7911,-50.0119,50.07,91,1,5.55,clear sky
78,Dikson,RU,73.5069,80.5464,0.68,94,100,26.69,light snow
79,Dunedin,NZ,-45.8742,170.5036,55.8,99,100,4.41,light rain
80,Kapaa,US,22.0752,-159.319,75.52,82,75,16.11,broken clouds
81,Nakamura,JP,32.9833,132.9333,61.3,67,100,1.52,overcast clouds
82,Barrow,US,71.2906,-156.7887,24.82,74,0,14.97,clear sky
83,Bredasdorp,ZA,-34.5322,20.0403,64.27,52,100,6.13,overcast clouds
84,Atuona,PF,-9.8,-139.0333,77.99,76,6,15.88,clear sky
85,Airai,TL,-8.9266,125.4092,74.25,58,100,3.22,overcast clouds
86,Busselton,AU,-33.65,115.3333,61.83,56,65,20.02,broken clouds
87,Atar,MR,20.5169,-13.0499,71.96,29,0,9.24,clear sky
88,Brewster,US,41.3973,-73.6171,37.96,83,0,5.75,clear sky
89,Tarauaca,BR,-8.1614,-70.7656,71.56,99,100,1.86,overcast clouds
90,Avarua,CK,-21.2078,-159.775,73.45,78,20,8.05,few clouds
91,Quatre Cocos,MU,-20.2078,57.7625,79.09,54,45,10.42,scattered clouds
92,San Patricio,US,28.017,-97.5169,52.84,64,100,7.56,overcast clouds
93,Victoria,HK,22.2855,114.1577,81.03,73,8,5.99,clear sky
94,Kourou,GF,5.1552,-52.6478,75.25,92,100,5.88,overcast clouds
95,Kermanshah,IR,34.3142,47.065,56.3,72,100,11.5,overcast clouds
96,Labuhan,ID,-6.8844,112.2051,86.59,66,77,9.22,broken clouds
97,Hobart,AU,-42.8794,147.3294,59.27,68,20,20.71,few clouds
98,Ilulissat,GL,69.2167,-51.1,17.62,93,100,5.75,light snow
99,Lagoa,PT,39.05,-27.9833,59.58,66,100,23.31,overcast clouds
100,Port Alfred,ZA,-33.5906,26.891,67.17,78,100,4.0,overcast clouds
101,Zhigansk,RU,66.7697,123.3711,-9.94,97,100,20.11,light snow
102,Iqaluit,CA,63.7506,-68.5145,10.13,85,75,11.5,light snow
103,Warrnambool,AU,-38.3833,142.4833,56.48,71,44,11.83,scattered clouds
104,Norman Wells,CA,65.282,-126.8329,-5.76,84,20,0.0,few clouds
105,Kashi,CN,39.4547,75.9797,54.61,19,0,15.66,clear sky
106,Kahramanmaras,TR,38.0,37.0,44.92,74,80,4.09,broken clouds
107,San Cristobal,VE,7.7669,-72.225,65.05,97,100,1.59,overcast clouds
108,Dinga,PK,32.6398,73.722,74.03,31,0,10.63,clear sky
109,Tasiilaq,GL,65.6145,-37.6368,37.56,86,100,23.15,overcast clouds
110,Mahebourg,MU,-20.4081,57.7,79.25,57,40,3.44,scattered clouds
111,Fredericksburg,US,38.3032,-77.4605,44.55,70,100,4.61,overcast clouds
112,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,28,0,11.01,clear sky
113,Sorland,NO,67.667,12.6934,46.26,55,35,9.84,scattered clouds
114,Chico,US,39.7285,-121.8375,48.29,61,0,0.0,clear sky
115,Hovd,MN,48.0056,91.6419,37.6,20,98,15.97,overcast clouds
116,Kharp,RU,66.8014,65.8081,4.78,80,100,10.18,overcast clouds
117,Jacareacanga,BR,-6.2222,-57.7528,72.21,97,100,0.87,overcast clouds
118,Sompeta,IN,18.9333,84.6,81.79,44,0,9.82,clear sky
119,Pevek,RU,69.7008,170.3133,-4.88,100,94,5.1,overcast clouds
120,Estelle,US,29.8458,-90.1067,51.8,60,20,9.22,few clouds
121,Dwarka,IN,22.2394,68.9678,85.06,42,0,9.8,clear sky
122,Hermanus,ZA,-34.4187,19.2345,63.81,60,100,7.76,overcast clouds
123,Avera,US,33.194,-82.5271,45.91,49,100,13.38,overcast clouds
124,Elayirampannai,IN,9.2667,77.8333,83.05,64,100,5.03,overcast clouds
125,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.88,87,2,4.07,clear sky
126,Chuy,UY,-33.6971,-53.4616,58.21,78,6,4.43,clear sky
127,Grand Gaube,MU,-20.0064,57.6608,79.38,53,2,8.01,clear sky
128,Cartagena,CO,10.3997,-75.5144,80.22,94,20,4.61,few clouds
129,Marawi,PH,7.9986,124.2928,72.7,86,100,3.4,overcast clouds
130,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,67.84,52,0,5.66,clear sky
131,Sitka,US,57.0531,-135.33,42.69,81,0,3.44,clear sky
132,Siocon,PH,7.7061,122.1353,80.37,86,100,7.0,overcast clouds
133,Torbay,CA,47.6666,-52.7314,36.75,86,100,4.61,overcast clouds
134,Balkhash,KZ,46.844,74.9804,27.21,54,40,15.66,scattered clouds
135,Tigil,RU,57.8,158.6667,9.46,98,67,4.59,broken clouds
136,Emba,KZ,48.8264,58.1442,29.12,62,100,15.35,overcast clouds
137,Saint Anthony,US,45.0205,-93.218,22.3,89,100,6.91,mist
138,Mazyr,BY,52.0495,29.2456,27.79,71,9,11.14,clear sky
139,Baijiantan,CN,45.6333,85.1833,40.82,31,100,13.76,overcast clouds
140,Skelleftea,SE,64.7507,20.9528,26.49,57,6,2.39,clear sky
141,Georgetown,MY,5.4112,100.3354,87.73,81,20,9.22,few clouds
142,Chapais,CA,49.7834,-74.8492,17.38,95,100,4.12,light snow
143,Longyearbyen,SJ,78.2186,15.6401,22.84,63,20,6.91,few clouds
144,Hasaki,JP,35.7333,140.8333,60.22,55,100,13.4,overcast clouds
145,Kyzyl-Mazhalyk,RU,51.1333,90.6,27.48,65,51,1.68,broken clouds
146,Bluff,NZ,-46.6,168.3333,58.8,96,100,14.0,overcast clouds
147,Saskylakh,RU,71.9167,114.0833,-27.87,99,100,2.8,overcast clouds
148,Valverde Del Camino,ES,37.5751,-6.7543,61.03,87,100,4.76,overcast clouds
149,Paamiut,GL,61.994,-49.6678,8.29,71,52,7.4,broken clouds
150,Birao,CF,10.2849,22.7882,79.86,22,95,10.76,overcast clouds
151,Faanui,PF,-16.4833,-151.75,79.84,70,99,1.32,overcast clouds
152,Fortuna,US,40.5982,-124.1573,41.92,100,0,10.36,clear sky
153,Esperance,AU,-33.8667,121.9,66.87,62,6,14.36,clear sky
154,Meadow Lake,US,34.8014,-106.5436,32.11,67,0,3.0,clear sky
155,Kaitangata,NZ,-46.2817,169.8464,53.53,89,100,5.3,overcast clouds
156,Izhmorskiy,RU,56.194,86.6414,23.74,86,96,9.51,overcast clouds
157,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
158,Hithadhoo,MV,-0.6,73.0833,81.72,74,98,13.24,overcast clouds
159,Porto Novo,BJ,6.4965,2.6036,78.62,82,99,2.46,light rain
160,Praya,CV,14.9215,-23.5087,73.94,83,20,9.22,few clouds
161,Copperas Cove,US,31.1241,-97.9031,43.92,77,75,0.0,broken clouds
162,Kyren,RU,51.6828,102.1408,31.05,70,100,1.77,overcast clouds
163,Matagami,CA,49.7502,-77.6328,15.91,92,100,6.91,light snow
164,Bowmore,US,34.9421,-79.3031,48.74,65,20,5.75,few clouds
165,Bandarbeyla,SO,9.4942,50.8122,81.91,63,15,16.37,few clouds
166,Ust-Ilimsk,RU,58.0006,102.6619,30.74,81,100,10.45,overcast clouds
167,Santa Rosa,PH,14.3122,121.1114,90.09,71,88,11.97,overcast clouds
168,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,42,0,12.66,clear sky
